Entity,Code,Year,Coal Consumption - TWh
Algeria,DZA,2017,2.11666
Algeria,DZA,2018,5815
Algeria,DZA,2019,4.80319
Algeria,DZA,2020,4.8163495
Algeria,DZA,2021,4.80319
Argentina,ARG,1965,8.4550495
Argentina,ARG,1966,6.9718184
Argentina,ARG,1967,7.840397
Argentina,ARG,1968,7.6190352
Argentina,ARG,1969,9.12217
Argentina,ARG,1970,11.722598
Argentina,ARG,1971,10.277542
Argentina,ARG,1972,8.651295
Argentina,ARG,1973,9.496522
Argentina,ARG,1974,11.825922
Argentina,ARG,1975,11.510941
Argentina,ARG,1976,11.642586
Argentina,ARG,1977,11.008503
Argentina,ARG,1978,13.419195
Argentina,ARG,1979,12.501674
Argentina,ARG,1980,11.144589
Argentina,ARG,1981,10.560467
Argentina,ARG,1982,10.666076
Argentina,ARG,1983,9.679963
Argentina,ARG,1984,7.1852236
Argentina,ARG,1985,10.599606
Argentina,ARG,1986,12.109349
Argentina,ARG,1987,13.439672
Argentina,ARG,1988,13.772349
Argentina,ARG,1989,14.902768
Argentina,ARG,1990,12.266132
Argentina,ARG,1991,10.794012
Argentina,ARG,1992,12.168163
Argentina,ARG,1993,8.069987
Argentina,ARG,1994,7.065107
Argentina,ARG,1995,7.4141526
Argentina,ARG,1996,7.766816
Argentina,ARG,1997,6.1277137
Argentina,ARG,1998,8.23741
Argentina,ARG,1999,9.885469
Argentina,ARG,2000,7.512647
Argentina,ARG,2001,6.1568522
Argentina,ARG,2002,4.5862966
Argentina,ARG,2003,5.593865
Argentina,ARG,2004,9.519819
Argentina,ARG,2005,10.961645
Argentina,ARG,2006,9.9238205
Argentina,ARG,2007,14.360361
Argentina,ARG,2008,17.51607
Argentina,ARG,2009,9.620938
Argentina,ARG,2010,13.47208
Argentina,ARG,2011,14.618646
Argentina,ARG,2012,13.669181
Argentina,ARG,2013,14.939302
Argentina,ARG,2014,15.891717
Argentina,ARG,2015,15.814129
Argentina,ARG,2016,12.188642
Argentina,ARG,2017,12.525288
Argentina,ARG,2018,13.709147
Argentina,ARG,2019,8.123962
Argentina,ARG,2020,10.015326
Argentina,ARG,2021,18.253904
Asia,,1965,2604.7842
Asia,,1966,2753783
Asia,,1967,2667211
Asia,,1968,2708.1685
Asia,,1969,3056.8274
Asia,,1970,3440.9536
Asia,,1971,3697763
Asia,,1972,3842.5747
Asia,,1973,3932.5076
Asia,,1974,4027638
Asia,,1975,4352.3564
Asia,,1976,4453.9956
Asia,,1977,4754.6685
Asia,,1978,4987235
Asia,,1979,5233.94
Asia,,1980,5541.4194
Asia,,1981,5723.5645
Asia,,1982,5951.4644
Asia,,1983,6326.9673
Asia,,1984,6892.8066
Asia,,1985,7993005
Asia,,1986,8322275
Asia,,1987,8908044
Asia,,1988,9504191
Asia,,1989,9890.94
Asia,,1990,10067662
Asia,,1991,10460022
Asia,,1992,10791163
Asia,,1993,11286324
Asia,,1994,11824197
Asia,,1995,12006163
Asia,,1996,12509935
Asia,,1997,12527632
Asia,,1998,12504702
Asia,,1999,12813.23
Asia,,2000,13317.1045
Asia,,2001,13945783
Asia,,2002,15021726
Asia,,2003,17196309
Asia,,2004,19349209
Asia,,2005,21995963
Asia,,2006,23728766
Asia,,2007,25784416
Asia,,2008,26500443
Asia,,2009,27379117
Asia,,2010,28691.03
Asia,,2011,30863795
Asia,,2012,31625379
Asia,,2013,32274053
Asia,,2014,32904273
Asia,,2015,32640432
Asia,,2016,32643137
Asia,,2017,33240152
Asia,,2018,34077934
Asia,,2019,34519426
Asia,,2020,34101305
Asia,,2021,36037973
Asia Pacific (BP),,1965,2780.7314
Asia Pacific (BP),,1966,2931.5122
Asia Pacific (BP),,1967,2854.2986
Asia Pacific (BP),,1968,2896.7332
Asia Pacific (BP),,1969,3250.1877
Asia Pacific (BP),,1970,3631.1387
Asia Pacific (BP),,1971,3886.6707
Asia Pacific (BP),,1972,4036.5913
Asia Pacific (BP),,1973,4134.1763
Asia Pacific (BP),,1974,4234.7363
Asia Pacific (BP),,1975,4557451
Asia Pacific (BP),,1976,4665.6807
Asia Pacific (BP),,1977,4975578
Asia Pacific (BP),,1978,5219296
Asia Pacific (BP),,1979,5472163
Asia Pacific (BP),,1980,5784006
Asia Pacific (BP),,1981,5975036
Asia Pacific (BP),,1982,6185.4614
Asia Pacific (BP),,1983,6548081
Asia Pacific (BP),,1984,7115.33
Asia Pacific (BP),,1985,7676.9263
Asia Pacific (BP),,1986,7972331
Asia Pacific (BP),,1987,8546454
Asia Pacific (BP),,1988,9157.78
Asia Pacific (BP),,1989,9570253
Asia Pacific (BP),,1990,9775469
Asia Pacific (BP),,1991,10176319
Asia Pacific (BP),,1992,10529562
Asia Pacific (BP),,1993,11083926
Asia Pacific (BP),,1994,11636564
Asia Pacific (BP),,1995,11911363
Asia Pacific (BP),,1996,12432925
Asia Pacific (BP),,1997,12489722
Asia Pacific (BP),,1998,12477373
Asia Pacific (BP),,1999,12858069
Asia Pacific (BP),,2000,13345488
Asia Pacific (BP),,2001,13958422
Asia Pacific (BP),,2002,15026.4
Asia Pacific (BP),,2003,17176084
Asia Pacific (BP),,2004,19317865
Asia Pacific (BP),,2005,21956637
Asia Pacific (BP),,2006,23642.43
Asia Pacific (BP),,2007,25615262
Asia Pacific (BP),,2008,26329402
Asia Pacific (BP),,2009,27199.89
Asia Pacific (BP),,2010,28423213
Asia Pacific (BP),,2011,30513.29
Asia Pacific (BP),,2012,31167186
Asia Pacific (BP),,2013,31849018
Asia Pacific (BP),,2014,32422668
Asia Pacific (BP),,2015,32236416
Asia Pacific (BP),,2016,32204.39
Asia Pacific (BP),,2017,32742.61
Asia Pacific (BP),,2018,33497.27
Asia Pacific (BP),,2019,33918832
Asia Pacific (BP),,2020,33527.17
Asia Pacific (BP),,2021,35451.54
Australia,AUS,1965,202.02777
Australia,AUS,1966,209.38889
Australia,AUS,1967,215.25
Australia,AUS,1968,221.69444
Australia,AUS,1969,229.27777
Australia,AUS,1970,231.69444
Australia,AUS,1971,232.56944
Australia,AUS,1972,242.93056
Australia,AUS,1973,252.98611
Australia,AUS,1974,264.06946
Australia,AUS,1975,272.54166
Australia,AUS,1976,281.79166
Australia,AUS,1977,294.18054
Australia,AUS,1978,301.8611
Australia,AUS,1979,315.54166
Australia,AUS,1980,324.7639
Australia,AUS,1981,333.1389
Australia,AUS,1982,336.68054
Australia,AUS,1983,336.55554
Australia,AUS,1984,355.90277
Australia,AUS,1985,368.1389
Australia,AUS,1986,377.4861
Australia,AUS,1987,393.3611
Australia,AUS,1988,413.7639
Australia,AUS,1989,433.95834
Australia,AUS,1990,444.34723
Australia,AUS,1991,453.2639
Australia,AUS,1992,455.95834
Australia,AUS,1993,458.8889
Australia,AUS,1994,468.2639
Australia,AUS,1995,484.16666
Australia,AUS,1996,503.95834
Australia,AUS,1997,529.4583
Australia,AUS,1998,553.0833
Australia,AUS,1999,587443
Australia,AUS,2000,591.6619
Australia,AUS,2001,585.69135
Australia,AUS,2002,598.8721
Australia,AUS,2003,616.0213
Australia,AUS,2004,641.9212
Australia,AUS,2005,638.2223
Australia,AUS,2006,655.49884
Australia,AUS,2007,649.8025
Australia,AUS,2008,677.29144
Australia,AUS,2009,654.86127
Australia,AUS,2010,607.39435
Australia,AUS,2011,592.0622
Australia,AUS,2012,554.4683
Australia,AUS,2013,526.2419
Australia,AUS,2014,521.8884
Australia,AUS,2015,540.4112
Australia,AUS,2016,540.0623
Australia,AUS,2017,521.52594
Australia,AUS,2018,508.88226
Australia,AUS,2019,486.3916
Australia,AUS,2020,468.52548
Australia,AUS,2021,452.96805
Austria,AUT,1965,59.1149
Austria,AUT,1966,56.467598
Austria,AUT,1967,53.4509
Austria,AUT,1968,52.773685
Austria,AUT,1969,51.936398
Austria,AUT,1970,55.854168
Austria,AUT,1971,51.233612
Austria,AUT,1972,46.453888
Austria,AUT,1973,46.169724
Austria,AUT,1974,48.72278
Austria,AUT,1975,42.340557
Austria,AUT,1976,45.06
Austria,AUT,1977,37.800278
Austria,AUT,1978,38.40222
Austria,AUT,1979,41.68611
Austria,AUT,1980,42.83472
Austria,AUT,1981,43.85
Austria,AUT,1982,41.705555
Austria,AUT,1983,44.655834
Austria,AUT,1984,50.88639
Austria,AUT,1985,50815
Austria,AUT,1986,45.3025
Austria,AUT,1987,44.939445
Austria,AUT,1988,43.03389
Austria,AUT,1989,43.228054
Austria,AUT,1990,47.640556
Austria,AUT,1991,49.97222
Austria,AUT,1992,38.882023
Austria,AUT,1993,34.95875
Austria,AUT,1994,35.454445
Austria,AUT,1995,40.338642
Austria,AUT,1996,40.510193
Austria,AUT,1997,42.96853
Austria,AUT,1998,37.83
Austria,AUT,1999,37.569916
Austria,AUT,2000,42.479004
Austria,AUT,2001,43.881134
Austria,AUT,2002,44.579712
Austria,AUT,2003,47.547695
Austria,AUT,2004,46.576305
Austria,AUT,2005,46.43805
Austria,AUT,2006,46.397972
Austria,AUT,2007,44.859592
Austria,AUT,2008,44.31641
Austria,AUT,2009,33.390785
Austria,AUT,2010,39.26068
Austria,AUT,2011,40.319637
Austria,AUT,2012,37.45485
Austria,AUT,2013,38.096313
Austria,AUT,2014,34.895565
Austria,AUT,2015,37.713593
Austria,AUT,2016,34.979595
Austria,AUT,2017,36.490314
Austria,AUT,2018,32.213512
Austria,AUT,2019,33.8888
Austria,AUT,2020,28.976196
Austria,AUT,2021,31.2038
Azerbaijan,AZE,1985,1.06996
Azerbaijan,AZE,1986,1.06996
Azerbaijan,AZE,1987,1.06996
Azerbaijan,AZE,1988,1.06996
Azerbaijan,AZE,1989,1.06996
Azerbaijan,AZE,1990,1.03507
Azerbaijan,AZE,1991,0.77921
Azerbaijan,AZE,1992,0.13956
Azerbaijan,AZE,1993,0.03489
Azerbaijan,AZE,1994,0.04652
Azerbaijan,AZE,1995,0.03489
Azerbaijan,AZE,1996,0.03489
Azerbaijan,AZE,1997,0.03489
Azerbaijan,AZE,1998,0
Azerbaijan,AZE,1999,0
Azerbaijan,AZE,2000,0
Azerbaijan,AZE,2001,0.03489
Azerbaijan,AZE,2002,0.02326
Azerbaijan,AZE,2003,0.03489
Azerbaijan,AZE,2004,0.010694444
Azerbaijan,AZE,2005,0.03744861
Azerbaijan,AZE,2006,0.03744861
Azerbaijan,AZE,2007,0.05733333
Azerbaijan,AZE,2008,43
Azerbaijan,AZE,2009,43
Azerbaijan,AZE,2010,0.0645
Azerbaijan,AZE,2011,0.05733333
Azerbaijan,AZE,2012,43
Azerbaijan,AZE,2013,0.035833333
Azerbaijan,AZE,2014,0.0215
Azerbaijan,AZE,2015,0.035833333
Azerbaijan,AZE,2016,0.014333333
Azerbaijan,AZE,2017,0.014333333
Azerbaijan,AZE,2018,0.0071666664
Azerbaijan,AZE,2019,0.009316667
Azerbaijan,AZE,2020,0.009333333
Azerbaijan,AZE,2021,0.009316667
Bangladesh,BGD,1971,1.0869898
Bangladesh,BGD,1972,1.0869864
Bangladesh,BGD,1973,1.41251
Bangladesh,BGD,1974,1.255563
Bangladesh,BGD,1975,1.4531916
Bangladesh,BGD,1976,1.4357584
Bangladesh,BGD,1977,1.4997
Bangladesh,BGD,1978,1.4531916
Bangladesh,BGD,1979,1.0811831
Bangladesh,BGD,1980,1.4443297
Bangladesh,BGD,1981,1.4847789
Bangladesh,BGD,1982,1.7986726
Bangladesh,BGD,1983,1.0179856
Bangladesh,BGD,1984,0.40738723
Bangladesh,BGD,1985,0.56964916
Bangladesh,BGD,1986,0.86029446
Bangladesh,BGD,1987,1.3543717
Bangladesh,BGD,1988,1.395065
Bangladesh,BGD,1989,1.4531916
Bangladesh,BGD,1990,3.272589
Bangladesh,BGD,1991,1.0463045
Bangladesh,BGD,1992,0.9823628
Bangladesh,BGD,1993,0.36620554
Bangladesh,BGD,1994,0.34295693
Bangladesh,BGD,1995,3.7317994
Bangladesh,BGD,1996,2.0461009
Bangladesh,BGD,1997,3.7550595
Bangladesh,BGD,1998,1.0811714
Bangladesh,BGD,1999,0.53477055
Bangladesh,BGD,2000,3.8364348
Bangladesh,BGD,2001,4.0689416
Bangladesh,BGD,2002,4.2491364
Bangladesh,BGD,2003,4.0631266
Bangladesh,BGD,2004,4.0689416
Bangladesh,BGD,2005,8.347995
Bangladesh,BGD,2006,12.683871
Bangladesh,BGD,2007,10.3513975
Bangladesh,BGD,2008,10.896066
Bangladesh,BGD,2009,13.61483
Bangladesh,BGD,2010,8.675766
Bangladesh,BGD,2011,12.915543
Bangladesh,BGD,2012,10.657114
Bangladesh,BGD,2013,14.754073
Bangladesh,BGD,2014,8.853395
Bangladesh,BGD,2015,26.352102
Bangladesh,BGD,2016,19.364847
Bangladesh,BGD,2017,21.72667
Bangladesh,BGD,2018,23.806307
Bangladesh,BGD,2019,38.54491
Bangladesh,BGD,2020,43.539238
Bangladesh,BGD,2021,38.15637
Belarus,BLR,1985,25.11238
Belarus,BLR,1986,27.471886
Belarus,BLR,1987,26.710539
Belarus,BLR,1988,28.616346
Belarus,BLR,1989,28.09227
Belarus,BLR,1990,24.710203
Belarus,BLR,1991,23.473154
Belarus,BLR,1992,19.550192
Belarus,BLR,1993,16.790056
Belarus,BLR,1994,11.763757
Belarus,BLR,1995,11.069911
Belarus,BLR,1996,13.434569
Belarus,BLR,1997,14.157129
Belarus,BLR,1998,12.563811
Belarus,BLR,1999,11.656456
Belarus,BLR,2000,11.571726
Belarus,BLR,2001,8.308524
Belarus,BLR,2002,7.837448
Belarus,BLR,2003,7.3767715
Belarus,BLR,2004,7.225938
Belarus,BLR,2005,7.979854
Belarus,BLR,2006,7.14469
Belarus,BLR,2007,8.080224
Belarus,BLR,2008,7.532654
Belarus,BLR,2009,7.1767774
Belarus,BLR,2010,7.507349
Belarus,BLR,2011,9.018615
Belarus,BLR,2012,9.199353
Belarus,BLR,2013,9.764291
Belarus,BLR,2014,9.686455
Belarus,BLR,2015,8.61383
Belarus,BLR,2016,9.467983
Belarus,BLR,2017,9.79246
Belarus,BLR,2018,14.68869
Belarus,BLR,2019,15.4679
Belarus,BLR,2020,9.73431
Belarus,BLR,2021,8.457041
Belgium,BEL,1965,222.93715
Belgium,BEL,1966,203.37099
Belgium,BEL,1967,199.59724
Belgium,BEL,1968,206.06418
Belgium,BEL,1969,200.69035
Belgium,BEL,1970,189.13449
Belgium,BEL,1971,156.61696
Belgium,BEL,1972,149.58344
Belgium,BEL,1973,125.52782
Belgium,BEL,1974,134.26744
Belgium,BEL,1975,100.27897
Belgium,BEL,1976,104.50377
Belgium,BEL,1977,105.99527
Belgium,BEL,1978,108.54406
Belgium,BEL,1979,120.93532
Belgium,BEL,1980,121.914505
Belgium,BEL,1981,126.292564
Belgium,BEL,1982,126.49051
Belgium,BEL,1983,107.940125
Belgium,BEL,1984,125.178535
Belgium,BEL,1985,124.82669
Belgium,BEL,1986,106.50946
Belgium,BEL,1987,105.99314
Belgium,BEL,1988,107.1085
Belgium,BEL,1989,112.53452
Belgium,BEL,1990,123.63173
Belgium,BEL,1991,118.26104
Belgium,BEL,1992,105.84025
Belgium,BEL,1993,100.25862
Belgium,BEL,1994,107.76567
Belgium,BEL,1995,102.9294
Belgium,BEL,1996,98.50768
Belgium,BEL,1997,91.96225
Belgium,BEL,1998,91.476814
Belgium,BEL,1999,80.151695
Belgium,BEL,2000,88.68365
Belgium,BEL,2001,84.474434
Belgium,BEL,2002,72.41642
Belgium,BEL,2003,70.049095
Belgium,BEL,2004,65.15432
Belgium,BEL,2005,59.86575
Belgium,BEL,2006,59.076748
Belgium,BEL,2007,53.98673
Belgium,BEL,2008,53.31606
Belgium,BEL,2009,34.345123
Belgium,BEL,2010,43.6005
Belgium,BEL,2011,41.048958
Belgium,BEL,2012,38.662643
Belgium,BEL,2013,40.907597
Belgium,BEL,2014,39.672768
Belgium,BEL,2015,38.741543
Belgium,BEL,2016,36.708572
Belgium,BEL,2017,35.91473
Belgium,BEL,2018,35.71365
Belgium,BEL,2019,35.81248
Belgium,BEL,2020,27.784756
Belgium,BEL,2021,28.736017
Brazil,BRA,1965,20.17805
Brazil,BRA,1966,21.8644
Brazil,BRA,1967,22.59709
Brazil,BRA,1968,22.23656
Brazil,BRA,1969,24.81842
Brazil,BRA,1970,28.344795
Brazil,BRA,1971,28.53244
Brazil,BRA,1972,30.035912
Brazil,BRA,1973,29.51856
Brazil,BRA,1974,31.312283
Brazil,BRA,1975,37.225246
Brazil,BRA,1976,39.726395
Brazil,BRA,1977,50.386036
Brazil,BRA,1978,57.935013
Brazil,BRA,1979,62.92866
Brazil,BRA,1980,68.64476
Brazil,BRA,1981,67.15786
Brazil,BRA,1982,70.991806
Brazil,BRA,1983,79.83681
Brazil,BRA,1984,98.59131
Brazil,BRA,1985,116.54804
Brazil,BRA,1986,117.99251
Brazil,BRA,1987,123.554794
Brazil,BRA,1988,126.26784
Brazil,BRA,1989,125.29148
Brazil,BRA,1990,111.62079
Brazil,BRA,1991,127.96354
Brazil,BRA,1992,124.180016
Brazil,BRA,1993,127.93627
Brazil,BRA,1994,131.33165
Brazil,BRA,1995,137.72983
Brazil,BRA,1996,142.11914
Brazil,BRA,1997,142.97127
Brazil,BRA,1998,140.04022
Brazil,BRA,1999,141.8078
Brazil,BRA,2000,151.18149
Brazil,BRA,2001,148.78801
Brazil,BRA,2002,144.01039
Brazil,BRA,2003,149.41873
Brazil,BRA,2004,156.65689
Brazil,BRA,2005,151.08461
Brazil,BRA,2006,148.97397
Brazil,BRA,2007,157.87172
Brazil,BRA,2008,160.13235
Brazil,BRA,2009,129.20715
Brazil,BRA,2010,168.19765
Brazil,BRA,2011,179673
Brazil,BRA,2012,177.79971
Brazil,BRA,2013,191.64679
Brazil,BRA,2014,203.76967
Brazil,BRA,2015,204981
Brazil,BRA,2016,185.14966
Brazil,BRA,2017,195.27472
Brazil,BRA,2018,190.9785
Brazil,BRA,2019,179.51239
Brazil,BRA,2020,163.13281
Brazil,BRA,2021,197.9085
Bulgaria,BGR,1965,69.73348
Bulgaria,BGR,1966,71.90829
Bulgaria,BGR,1967,78.08382
Bulgaria,BGR,1968,84.82922
Bulgaria,BGR,1969,85.28279
Bulgaria,BGR,1970,93.28423
Bulgaria,BGR,1971,92.07471
Bulgaria,BGR,1972,94.9008
Bulgaria,BGR,1973,95.63349
Bulgaria,BGR,1974,94.00529
Bulgaria,BGR,1975,98.55262
Bulgaria,BGR,1976,91.86537
Bulgaria,BGR,1977,91.49321
Bulgaria,BGR,1978,97.55244
Bulgaria,BGR,1979,100.58787
Bulgaria,BGR,1980,105.50736
Bulgaria,BGR,1981,107.13556
Bulgaria,BGR,1982,112.55514
Bulgaria,BGR,1983,112.12483
Bulgaria,BGR,1984,112.29928
Bulgaria,BGR,1985,117.20714
Bulgaria,BGR,1986,120.47517
Bulgaria,BGR,1987,120.3705
Bulgaria,BGR,1988,112.13646
Bulgaria,BGR,1989,114.45083
Bulgaria,BGR,1990,96.057915
Bulgaria,BGR,1991,85.861694
Bulgaria,BGR,1992,90.289055
Bulgaria,BGR,1993,97.209785
Bulgaria,BGR,1994,88.99109
Bulgaria,BGR,1995,89.002144
Bulgaria,BGR,1996,88.62326
Bulgaria,BGR,1997,101.05516
Bulgaria,BGR,1998,96.24863
Bulgaria,BGR,1999,79.253265
Bulgaria,BGR,2000,73.19367
Bulgaria,BGR,2001,83.42836
Bulgaria,BGR,2002,76.82983
Bulgaria,BGR,2003,86.018326
Bulgaria,BGR,2004,82.196365
Bulgaria,BGR,2005,80.50994
Bulgaria,BGR,2006,81.74977
Bulgaria,BGR,2007,91.96954
Bulgaria,BGR,2008,87.664825
Bulgaria,BGR,2009,73.79339
Bulgaria,BGR,2010,80.046974
Bulgaria,BGR,2011,94.14437
Bulgaria,BGR,2012,80.42796
Bulgaria,BGR,2013,69.12558
Bulgaria,BGR,2014,73.85166
Bulgaria,BGR,2015,76.23652
Bulgaria,BGR,2016,66.22471
Bulgaria,BGR,2017,71.00035
Bulgaria,BGR,2018,63.44715
Bulgaria,BGR,2019,59.073574
Bulgaria,BGR,2020,48.281292
Bulgaria,BGR,2021,60.661686
CIS (BP),,1965,3459.1882
CIS (BP),,1966,3585219
CIS (BP),,1967,3640.7202
CIS (BP),,1968,3608.9705
CIS (BP),,1969,3660.7078
CIS (BP),,1970,3630.3938
CIS (BP),,1971,3703.8052
CIS (BP),,1972,3807.3276
CIS (BP),,1973,3848096
CIS (BP),,1974,3866.9873
CIS (BP),,1975,3977.0588
CIS (BP),,1976,3972.7527
CIS (BP),,1977,4044.1145
CIS (BP),,1978,4019.6406
CIS (BP),,1979,4048.7356
CIS (BP),,1980,3925.4902
CIS (BP),,1981,3900584
CIS (BP),,1982,3960.3271
CIS (BP),,1983,3970.4863
CIS (BP),,1984,3933.0122
CIS (BP),,1985,2854359
CIS (BP),,1986,2948.2593
CIS (BP),,1987,2998.8354
CIS (BP),,1988,2977579
CIS (BP),,1989,2875714
CIS (BP),,1990,2673.0437
CIS (BP),,1991,2475.7185
CIS (BP),,1992,2331.7666
CIS (BP),,1993,2101.5085
CIS (BP),,1994,1880.5605
CIS (BP),,1995,1738.2593
CIS (BP),,1996,1681.7985
CIS (BP),,1997,1533.0638
CIS (BP),,1998,1447.3837
CIS (BP),,1999,1438.2515
CIS (BP),,2000,1467.0603
CIS (BP),,2001,1481.8722
CIS (BP),,2002,1493.0892
CIS (BP),,2003,1526.6345
CIS (BP),,2004,1497.0508
CIS (BP),,2005,1440.1248
CIS (BP),,2006,1485.1237
CIS (BP),,2007,1480.94
CIS (BP),,2008,1595.2639
CIS (BP),,2009,1461.0197
CIS (BP),,2010,1469.3752
CIS (BP),,2011,1547.9054
CIS (BP),,2012,1622.4033
CIS (BP),,2013,1534.2445
CIS (BP),,2014,1496.9598
CIS (BP),,2015,1514.9988
CIS (BP),,2016,1480.0125
CIS (BP),,2017,1449.1868
CIS (BP),,2018,1545.3877
CIS (BP),,2019,1512.8928
CIS (BP),,2020,1410202
CIS (BP),,2021,1437.4064
Canada,CAN,1965,179.98589
Canada,CAN,1966,176.45036
Canada,CAN,1967,174.82216
Canada,CAN,1968,189.92953
Canada,CAN,1969,183.37021
Canada,CAN,1970,196.87263
Canada,CAN,1971,187.1267
Canada,CAN,1972,176.5783
Canada,CAN,1973,181.8583
Canada,CAN,1974,184.77744
Canada,CAN,1975,179.76491
Canada,CAN,1976,212829
Canada,CAN,1977,271.95593
Canada,CAN,1978,223.62164
Canada,CAN,1979,211.7474
Canada,CAN,1980,257.8914
Canada,CAN,1981,263.31723
Canada,CAN,1982,278.24472
Canada,CAN,1983,291.11526
Canada,CAN,1984,324.2714
Canada,CAN,1985,311.69055
