Entity,Code,Year,Gas Consumption - TWh
Asia Pacific (BP),,2000,2983047
Asia Pacific (BP),,2001,3165.5247
Asia Pacific (BP),,2002,3308.5586
Asia Pacific (BP),,2003,3587.9856
Asia Pacific (BP),,2004,3801.4814
Asia Pacific (BP),,2005,4080.2969
Asia Pacific (BP),,2006,4393.0103
Asia Pacific (BP),,2007,4731436
Asia Pacific (BP),,2008,5034736
Asia Pacific (BP),,2009,5154127
Asia Pacific (BP),,2010,5752.4937
Asia Pacific (BP),,2011,6201.2754
Asia Pacific (BP),,2012,6619.5776
Asia Pacific (BP),,2013,6857.08
Asia Pacific (BP),,2014,7055.4907
Asia Pacific (BP),,2015,7157235
Asia Pacific (BP),,2016,7327.4067
Asia Pacific (BP),,2017,7719802
Asia Pacific (BP),,2018,8304968
Asia Pacific (BP),,2019,8603884
Asia Pacific (BP),,2020,8669104
Asia Pacific (BP),,2021,9182994
Australia,AUS,1965,0.029475
Australia,AUS,1966,0.0393
Australia,AUS,1967,0.0393
Australia,AUS,1968,0.304575
Australia,AUS,1969,4.1265
Australia,AUS,1970,17.303974
Australia,AUS,1971,25.82668
Australia,AUS,1972,37.074265
Australia,AUS,1973,47.0688
Australia,AUS,1974,53.701992
Australia,AUS,1975,57.66997
Australia,AUS,1976,68.07722
Australia,AUS,1977,77.76844
Australia,AUS,1978,83.72538
Australia,AUS,1979,96.37518
Australia,AUS,1980,110.66588
Australia,AUS,1981,119.94439
Australia,AUS,1982,116.980835
Australia,AUS,1983,127.07482
Australia,AUS,1984,125.31726
Australia,AUS,1985,133.95262
Australia,AUS,1986,146.32928
Australia,AUS,1987,149.39459
Australia,AUS,1988,152.9934
Australia,AUS,1989,166.87564
Australia,AUS,1990,167.75948
Australia,AUS,1991,160.82101
Australia,AUS,1992,166.36957
Australia,AUS,1993,172.49344
Australia,AUS,1994,191.56657
Australia,AUS,1995,193.4157
Australia,AUS,1996,194.82663
Australia,AUS,1997,191.30505
Australia,AUS,1998,196.9532
Australia,AUS,1999,201.74054
Australia,AUS,2000,205.5508
Australia,AUS,2001,221.69319
Australia,AUS,2002,228.14818
Australia,AUS,2003,229.94289
Australia,AUS,2004,234.53601
Australia,AUS,2005,232.58983
Australia,AUS,2006,259.43063
Australia,AUS,2007,290.19815
Australia,AUS,2008,285.34958
Australia,AUS,2009,291.36435
Australia,AUS,2010,317.06427
Australia,AUS,2011,327.93732
Australia,AUS,2012,329.6105
Australia,AUS,2013,346.7392
Australia,AUS,2014,372.20932
Australia,AUS,2015,387.95798
Australia,AUS,2016,378.70892
Australia,AUS,2017,371.14383
Australia,AUS,2018,367.68118
Australia,AUS,2019,439223
Australia,AUS,2020,430.95615
Australia,AUS,2021,394.07318
Austria,AUT,1965,17.528646
Austria,AUT,1966,18.821033
Austria,AUT,1967,18.031683
Austria,AUT,1968,19.22897
Austria,AUT,1969,23.329157
Austria,AUT,1970,28.298002
Austria,AUT,1971,32.506645
Austria,AUT,1972,35.129753
Austria,AUT,1973,38.6112
Austria,AUT,1974,41.85197
Austria,AUT,1975,41.80162
Austria,AUT,1976,47.61011
Austria,AUT,1977,48.520336
Austria,AUT,1978,50.46824
Austria,AUT,1979,50.040367
Austria,AUT,1980,48.073975
Austria,AUT,1981,45.824097
Austria,AUT,1982,44.355267
Austria,AUT,1983,45.25706
Austria,AUT,1984,50.38989
Austria,AUT,1985,53.991604
Austria,AUT,1986,52.421265
Austria,AUT,1987,54.68578
Austria,AUT,1988,52.38503
Austria,AUT,1989,56.25982
Austria,AUT,1990,61.934902
Austria,AUT,1991,65.66419
Austria,AUT,1992,64.48223
Austria,AUT,1993,67.812454
Austria,AUT,1994,69.751495
Austria,AUT,1995,76.15716
Austria,AUT,1996,81.06088
Austria,AUT,1997,78.12572
Austria,AUT,1998,80.20729
Austria,AUT,1999,81.92763
Austria,AUT,2000,78.205154
Austria,AUT,2001,82.88196
Austria,AUT,2002,81.48537
Austria,AUT,2003,89.629715
Austria,AUT,2004,90.49234
Austria,AUT,2005,95.27706
Austria,AUT,2006,89.532005
Austria,AUT,2007,84.708954
Austria,AUT,2008,90.68555
Austria,AUT,2009,88.31914
Austria,AUT,2010,96.12812
Austria,AUT,2011,90.41807
Austria,AUT,2012,86.24142
Austria,AUT,2013,82.00461
Austria,AUT,2014,75.10976
Austria,AUT,2015,79.68095
Austria,AUT,2016,83.421906
Austria,AUT,2017,90.69854
Austria,AUT,2018,86.86919
Austria,AUT,2019,89.00441
Austria,AUT,2020,85.27519
Austria,AUT,2021,90.13871
Azerbaijan,AZE,1985,132.81377
Azerbaijan,AZE,1986,147.56868
Azerbaijan,AZE,1987,145.74751
Azerbaijan,AZE,1988,143.92633
Azerbaijan,AZE,1989,151.21591
Azerbaijan,AZE,1990,154.21864
Azerbaijan,AZE,1991,147.56868
Azerbaijan,AZE,1992,114.76804
Azerbaijan,AZE,1993,84.716255
Azerbaijan,AZE,1994,79.247856
Azerbaijan,AZE,1995,78.33483
Azerbaijan,AZE,1996,57.388905
Azerbaijan,AZE,1997,54.654705
Azerbaijan,AZE,1998,51.002594
Azerbaijan,AZE,1999,54.654705
Azerbaijan,AZE,2000,52.82865
Azerbaijan,AZE,2001,75.7764
Azerbaijan,AZE,2002,75.99123
Azerbaijan,AZE,2003,77.9247
Azerbaijan,AZE,2004,91.375175
Azerbaijan,AZE,2005,94.38427
Azerbaijan,AZE,2006,99.77681
Azerbaijan,AZE,2007,87.84967
Azerbaijan,AZE,2008,100.50773
Azerbaijan,AZE,2009,85.81977
Azerbaijan,AZE,2010,81.58022
Azerbaijan,AZE,2011,89.345276
Azerbaijan,AZE,2012,93.76557
Azerbaijan,AZE,2013,94.18168
Azerbaijan,AZE,2014,98.544464
Azerbaijan,AZE,2015,111.46552
Azerbaijan,AZE,2016,109.30647
Azerbaijan,AZE,2017,106.16605
Azerbaijan,AZE,2018,108.15813
Azerbaijan,AZE,2019,117.89236
Azerbaijan,AZE,2020,123.66788
Azerbaijan,AZE,2021,127.20475
Bangladesh,BGD,1971,3.667125
Bangladesh,BGD,1972,3.667125
Bangladesh,BGD,1973,5.880875
Bangladesh,BGD,1974,7.112875
Bangladesh,BGD,1975,4.956875
Bangladesh,BGD,1976,7.247625
Bangladesh,BGD,1977,8.1235
Bangladesh,BGD,1978,8.614375
Bangladesh,BGD,1979,9.865625
Bangladesh,BGD,1980,12.291125
Bangladesh,BGD,1981,13.613856
Bangladesh,BGD,1982,17.674847
Bangladesh,BGD,1983,19.667185
Bangladesh,BGD,1984,22.700663
Bangladesh,BGD,1985,25.780474
Bangladesh,BGD,1986,29.070148
Bangladesh,BGD,1987,34.155926
Bangladesh,BGD,1988,40.201077
Bangladesh,BGD,1989,42.498672
Bangladesh,BGD,1990,45.742012
Bangladesh,BGD,1991,47.107487
Bangladesh,BGD,1992,51.370163
Bangladesh,BGD,1993,57.502533
Bangladesh,BGD,1994,60.985718
Bangladesh,BGD,1995,67.42334
Bangladesh,BGD,1996,72.36466
Bangladesh,BGD,1997,71.132744
Bangladesh,BGD,1998,76.86446
Bangladesh,BGD,1999,83.80357
Bangladesh,BGD,2000,90.58189
Bangladesh,BGD,2001,101.43209
Bangladesh,BGD,2002,106.71138
Bangladesh,BGD,2003,114.7843
Bangladesh,BGD,2004,123.40232
Bangladesh,BGD,2005,132.63358
Bangladesh,BGD,2006,143.63368
Bangladesh,BGD,2007,153.36371
Bangladesh,BGD,2008,163.7642
Bangladesh,BGD,2009,187.46738
Bangladesh,BGD,2010,192.53728
Bangladesh,BGD,2011,195.82149
Bangladesh,BGD,2012,213.3628
Bangladesh,BGD,2013,219.52786
Bangladesh,BGD,2014,230.22272
Bangladesh,BGD,2015,258.54062
Bangladesh,BGD,2016,264.50946
Bangladesh,BGD,2017,265.92673
Bangladesh,BGD,2018,274.29
Bangladesh,BGD,2019,309.34378
Bangladesh,BGD,2020,299.1531
Bangladesh,BGD,2021,311.29626
Belarus,BLR,1985,86.53184
Belarus,BLR,1986,88.18871
Belarus,BLR,1987,99.54344
Belarus,BLR,1988,115.26034
Belarus,BLR,1989,121.38234
Belarus,BLR,1990,129.32503
Belarus,BLR,1991,135.34875
Belarus,BLR,1992,157.17828
Belarus,BLR,1993,145.83292
Belarus,BLR,1994,127.48563
Belarus,BLR,1995,115.26034
Belarus,BLR,1996,121.38234
Belarus,BLR,1997,138.84035
Belarus,BLR,1998,140.59084
Belarus,BLR,1999,143.21188
Belarus,BLR,2000,151.9362
Belarus,BLR,2001,151.06564
Belarus,BLR,2002,155.42781
Belarus,BLR,2003,152.80676
Belarus,BLR,2004,185.34369
Belarus,BLR,2005,190.02661
Belarus,BLR,2006,193.94777
Belarus,BLR,2007,194.71536
Belarus,BLR,2008,199.41452
Belarus,BLR,2009,169.31981
Belarus,BLR,2010,207.28363
Belarus,BLR,2011,192.26186
Belarus,BLR,2012,194.10098
Belarus,BLR,2013,192.70277
Belarus,BLR,2014,191.2144
Belarus,BLR,2015,178.9891
Belarus,BLR,2016,177.87517
Belarus,BLR,2017,182.08755
Belarus,BLR,2018,193.14273
Belarus,BLR,2019,191.64499
Belarus,BLR,2020,177.51009
Belarus,BLR,2021,190.2813
Belgium,BEL,1965,735
Belgium,BEL,1966,1.3265
Belgium,BEL,1967,5.0555
Belgium,BEL,1968,12299
Belgium,BEL,1969,25335
Belgium,BEL,1970,39.75175
Belgium,BEL,1971,54.81475
Belgium,BEL,1972,69.1135
Belgium,BEL,1973,83.07225
Belgium,BEL,1974,97.35675
Belgium,BEL,1975,96.19475
Belgium,BEL,1976,101.6115
Belgium,BEL,1977,99.9695
Belgium,BEL,1978,99.1245
Belgium,BEL,1979,108.30525
Belgium,BEL,1980,103.6315
Belgium,BEL,1981,95.5805
Belgium,BEL,1982,79.68625
Belgium,BEL,1983,82.80875
Belgium,BEL,1984,85.4505
Belgium,BEL,1985,85864
Belgium,BEL,1986,77095
Belgium,BEL,1987,85.0165
Belgium,BEL,1988,83906
Belgium,BEL,1989,93.24425
Belgium,BEL,1990,95.6985
Belgium,BEL,1991,102078
Belgium,BEL,1992,105.20125
Belgium,BEL,1993,110093
Belgium,BEL,1994,112576
Belgium,BEL,1995,124.5255
Belgium,BEL,1996,138.42075
Belgium,BEL,1997,132.04475
Belgium,BEL,1998,144644
Belgium,BEL,1999,154.46025
Belgium,BEL,2000,155.26276
Belgium,BEL,2001,153376
Belgium,BEL,2002,158.32526
Belgium,BEL,2003,168.66576
Belgium,BEL,2004,171.88
Belgium,BEL,2005,168.93475
Belgium,BEL,2006,173889
Belgium,BEL,2007,175.19025
Belgium,BEL,2008,174.0145
Belgium,BEL,2009,175.74066
Belgium,BEL,2010,194.04
Belgium,BEL,2011,165.24
Belgium,BEL,2012,167.4
Belgium,BEL,2013,165.33
Belgium,BEL,2014,144.63
Belgium,BEL,2015,158499
Belgium,BEL,2016,161892
Belgium,BEL,2017,164115
Belgium,BEL,2018,168741
Belgium,BEL,2019,173835
Belgium,BEL,2020,169.9818
Belgium,BEL,2021,169.60623
Brazil,BRA,1965,0.51342165
Brazil,BRA,1966,0.6004025
Brazil,BRA,1967,0.6787161
Brazil,BRA,1968,0.71728975
Brazil,BRA,1969,0.755965
Brazil,BRA,1970,0.8110125
Brazil,BRA,1971,1.2773445
Brazil,BRA,1972,1.7538142
Brazil,BRA,1973,2.0072556
Brazil,BRA,1974,3.8624463
Brazil,BRA,1975,4.196989
Brazil,BRA,1976,4.8356614
Brazil,BRA,1977,6.0319047
Brazil,BRA,1978,7.9377837
Brazil,BRA,1979,8.698108
Brazil,BRA,1980,10.168068
Brazil,BRA,1981,9.123889
Brazil,BRA,1982,13.0370245
Brazil,BRA,1983,17.629381
Brazil,BRA,1984,20.518614
Brazil,BRA,1985,25.739506
Brazil,BRA,1986,29.987183
Brazil,BRA,1987,33.474537
Brazil,BRA,1988,33.697563
Brazil,BRA,1989,34.54913
Brazil,BRA,1990,31.455135
Brazil,BRA,1991,32.700607
Brazil,BRA,1992,37.043995
Brazil,BRA,1993,43.394627
Brazil,BRA,1994,47.3917
Brazil,BRA,1995,52.304947
Brazil,BRA,1996,57.627487
Brazil,BRA,1997,62.624916
Brazil,BRA,1998,65.63152
Brazil,BRA,1999,77.880455
Brazil,BRA,2000,97.04505
Brazil,BRA,2001,122.86194
Brazil,BRA,2002,145.16252
Brazil,BRA,2003,162.47292
Brazil,BRA,2004,193.22484
Brazil,BRA,2005,201.27116
Brazil,BRA,2006,211.69781
Brazil,BRA,2007,218.01636
Brazil,BRA,2008,256.60886
Brazil,BRA,2009,206.68614
Brazil,BRA,2010,275.7678
Brazil,BRA,2011,274.83426
Brazil,BRA,2012,325.76532
Brazil,BRA,2013,383.82773
Brazil,BRA,2014,406.55475
Brazil,BRA,2015,429.36542
Brazil,BRA,2016,370.8788
Brazil,BRA,2017,376.32028
Brazil,BRA,2018,358908
Brazil,BRA,2019,357.3335
Brazil,BRA,2020,314.23697
Brazil,BRA,2021,404.4645
Bulgaria,BGR,1965,0.562725
Bulgaria,BGR,1966,0.839475
Bulgaria,BGR,1967,2.555325
Bulgaria,BGR,1968,3.9114
Bulgaria,BGR,1969,4.068225
Bulgaria,BGR,1970,3.67155
Bulgaria,BGR,1971,2.8765
Bulgaria,BGR,1972,1938
Bulgaria,BGR,1973,1.9525
Bulgaria,BGR,1974,4.2545
Bulgaria,BGR,1975,11.29875
Bulgaria,BGR,1976,19.76075
Bulgaria,BGR,1977,25.2155
Bulgaria,BGR,1978,26.90025
Bulgaria,BGR,1979,28.7795
Bulgaria,BGR,1980,36.9915
Bulgaria,BGR,1981,40.23925
Bulgaria,BGR,1982,44528
Bulgaria,BGR,1983,46.7895
Bulgaria,BGR,1984,49195
Bulgaria,BGR,1985,53658
Bulgaria,BGR,1986,53.2855
Bulgaria,BGR,1987,59423
Bulgaria,BGR,1988,57.7245
Bulgaria,BGR,1989,59.42325
Bulgaria,BGR,1990,63.0175
Bulgaria,BGR,1991,53.2195
Bulgaria,BGR,1992,47.12125
Bulgaria,BGR,1993,43.84575
Bulgaria,BGR,1994,43.86275
Bulgaria,BGR,1995,52.93925
Bulgaria,BGR,1996,54.08425
Bulgaria,BGR,1997,43.14725
Bulgaria,BGR,1998,36.1015
Bulgaria,BGR,1999,31.2785
Bulgaria,BGR,2000,34.06825
Bulgaria,BGR,2001,28.63925
Bulgaria,BGR,2002,25393
Bulgaria,BGR,2003,26833
Bulgaria,BGR,2004,26.19875
Bulgaria,BGR,2005,32664
Bulgaria,BGR,2006,33657
Bulgaria,BGR,2007,33919
Bulgaria,BGR,2008,33.92125
Bulgaria,BGR,2009,24.26375
Bulgaria,BGR,2010,26.72275
Bulgaria,BGR,2011,30.5945
Bulgaria,BGR,2012,28.51225
Bulgaria,BGR,2013,27544
Bulgaria,BGR,2014,27.3615
Bulgaria,BGR,2015,30.0035
Bulgaria,BGR,2016,31.2505
Bulgaria,BGR,2017,32.1365
Bulgaria,BGR,2018,30.22925
Bulgaria,BGR,2019,28.30875
Bulgaria,BGR,2020,29.2065
Bulgaria,BGR,2021,33.02
CIS (BP),,1965,1216.7583
CIS (BP),,1966,1357.3744
CIS (BP),,1967,1494425
CIS (BP),,1968,1613604
CIS (BP),,1969,1724.4338
CIS (BP),,1970,1894.8474
CIS (BP),,1971,2071.2183
CIS (BP),,1972,2178483
CIS (BP),,1973,2369149
CIS (BP),,1974,2512.1567
CIS (BP),,1975,2740.9697
CIS (BP),,1976,3016267
CIS (BP),,1977,3231.9695
CIS (BP),,1978,3446.4758
CIS (BP),,1979,3658.6013
CIS (BP),,1980,3770774
CIS (BP),,1981,3993.0427
CIS (BP),,1982,4310.4585
CIS (BP),,1983,4621894
CIS (BP),,1984,5043178
CIS (BP),,1985,4341.5884
CIS (BP),,1986,4456.0396
CIS (BP),,1987,4698.3403
CIS (BP),,1988,4951384
CIS (BP),,1989,5062318
CIS (BP),,1990,5110077
CIS (BP),,1991,5205241
CIS (BP),,1992,5052377
CIS (BP),,1993,5001.4214
CIS (BP),,1994,4697723
CIS (BP),,1995,4558.9146
CIS (BP),,1996,4612146
CIS (BP),,1997,4274.7305
CIS (BP),,1998,4436.2583
CIS (BP),,1999,4482.2705
CIS (BP),,2000,4517.85
CIS (BP),,2001,4632826
CIS (BP),,2002,4663421
CIS (BP),,2003,4744.8403
CIS (BP),,2004,4908078
CIS (BP),,2005,4985125
CIS (BP),,2006,5182.6895
CIS (BP),,2007,5290.8286
CIS (BP),,2008,5192539
CIS (BP),,2009,4979131
CIS (BP),,2010,5290.2935
CIS (BP),,2011,5472.3403
CIS (BP),,2012,5430249
CIS (BP),,2013,5349815
CIS (BP),,2014,5376.4976
CIS (BP),,2015,5275.3564
CIS (BP),,2016,5363.8086
CIS (BP),,2017,5486579
CIS (BP),,2018,5797.79
CIS (BP),,2019,5735.1514
CIS (BP),,2020,5500.6987
CIS (BP),,2021,6108306
Canada,CAN,1965,216.68422
Canada,CAN,1966,237.22488
Canada,CAN,1967,251.9172
Canada,CAN,1968,280.52078
Canada,CAN,1969,313.49634
Canada,CAN,1970,346.33853
Canada,CAN,1971,369.66525
Canada,CAN,1972,415.79483
Canada,CAN,1973,442.17908
Canada,CAN,1974,446.97968
Canada,CAN,1975,461.5815
Canada,CAN,1976,465.67725
Canada,CAN,1977,488442
Canada,CAN,1978,493.10925
Canada,CAN,1979,500634
Canada,CAN,1980,497.49075
Canada,CAN,1981,482727
Canada,CAN,1982,511.20676
Canada,CAN,1983,487.4895
Canada,CAN,1984,541.11523
Canada,CAN,1985,567.60046
Canada,CAN,1986,546.25397
Canada,CAN,1987,552.8691
Canada,CAN,1988,608.4751
Canada,CAN,1989,657.78125
Canada,CAN,1990,637.60443
Canada,CAN,1991,642.01074
Canada,CAN,1992,680.55365
