Code,MaxGrowth
ARE,148.57421560580497
AUS,63.45883675635106
AUT,42.68537969803404
BEL,58.39579089785198
CAN,102.1602882297225
CHE,33.35074842640076
CHL,25.34271074799886
CYP,25.055436817837315
CZE,44.24216679915524
DEU,40.97748690734608
DNK,32.1979252367478
ESP,33.61533313318038
EST,46.50493340432046
FIN,58.96615229845878
FRA,36.05179358885938
GBR,30.09788523476273
GRC,30.41034866635641
HKG,29.152297203915413
HRV,23.46819097313328
HUN,26.660480776779483
IRL,37.76139605584867
ISL,165.8728903441553
ISR,33.64303057131594
ITA,28.910201002163475
JPN,39.98491307403856
KOR,68.12618318739187
KWT,103.88306215481232
LTU,23.151077705718613
LUX,60.33451286984694
LVA,21.435644954126957
NLD,56.00077983312925
NOR,96.9263191947326
NZL,44.93927483494892
OMN,90.7514791562962
POL,30.065417880966915
PRT,25.094378126866623
QAT,194.0634944726065
ROU,18.34687143592055
SAU,87.70730172993795
SGP,146.54882678372545
SVK,33.88770173154626
SVN,34.39107547536516
SWE,59.92681590623569
TTO,107.26862495244262
TWN,55.60654891459647
USA,78.7542755087688
ARG,45.88680619064837
AZE,60.391906250785574
BGD,22.13543244323354
BGR,63.30332751637208
BLR,80.21263365646267
BRA,54.56612100387059
CHN,82.06729179535098
COL,35.80913824901166
DZA,64.84151244953811
ECU,53.2670898945975
EGY,37.100313617495196
IDN,37.804322609308656
IND,47.81711813670686
IRN,117.4179170893744
IRQ,74.48235719341999
KAZ,80.62770634501604
LKA,16.698447151827388
MAR,39.76191459393545
MEX,44.679483529795405
MKD,39.23700412316212
MYS,66.39829970274144
PAK,37.56493480068901
PER,36.74207954262873
PHL,28.107314987853666
RUS,94.87151538439485
THA,53.342424805099476
TKM,230.5018807480836
TUR,32.91793467338546
UKR,81.14302742025666
UZB,96.9761148098401
VNM,54.23444082145499
ZAF,78.94369870815477
